date,variable,depth_top_cm,depth_bottom_cm,value,std
2007-05-20,LAI,,,0.000000,0.5
2007-05-20,theta,10,10,0.230161,0.05
2007-05-20,theta,30,30,0.244771,0.05
2007-05-25,LAI,,,0.010000,0.5
2007-05-25,theta,10,10,0.206161,0.05
2007-05-25,theta,30,30,0.233125,0.05
2007-05-30,LAI,,,0.041667,0.5
2007-05-30,theta,10,10,0.197145,0.05
2007-05-30,theta,30,30,0.224188,0.05
2007-06-04,LAI,,,0.105833,0.5
2007-06-04,theta,10,10,0.298427,0.05
2007-06-04,theta,30,30,0.218339,0.05
2007-06-09,LAI,,,0.228750,0.5
2007-06-09,theta,10,10,0.220488,0.05
2007-06-09,theta,30,30,0.242178,0.05
2007-06-14,LAI,,,0.612500,0.5
2007-06-14,theta,10,10,0.256587,0.05
2007-06-14,theta,30,30,0.239215,0.05
2007-06-19,LAI,,,1.056250,0.5
2007-06-19,theta,10,10,0.187463,0.05
2007-06-19,theta,30,30,0.225409,0.05
2007-06-24,LAI,,,1.770833,0.5
2007-06-24,theta,10,10,0.143775,0.05
2007-06-24,theta,30,30,0.193348,0.05
2007-06-29,LAI,,,2.622083,0.5
2007-06-29,theta,10,10,0.120058,0.05
2007-06-29,theta,30,30,0.142612,0.05
2007-07-04,LAI,,,3.410000,0.5
2007-07-04,theta,10,10,0.111573,0.05
2007-07-04,theta,30,30,0.111741,0.05
