metric,reason,sample_count,missing_count,version
mean_thNew_40_80,missing_values,4200,4200,all_samples
final_thNew_40_80,missing_values,4200,4200,all_samples
min_thNew_40_80,missing_values,4200,4200,all_samples
max_thNew_40_80,missing_values,4200,4200,all_samples
mean_hNew_40_80,missing_values,4200,4200,all_samples
final_hNew_40_80,missing_values,4200,4200,all_samples
min_hNew_40_80,missing_values,4200,4200,all_samples
mean_Temp_40_80,missing_values,4200,4200,all_samples
final_Temp_40_80,missing_values,4200,4200,all_samples
mean_NO3N_40_80,missing_values,4200,4200,all_samples
final_NO3N_40_80,missing_values,4200,4200,all_samples
mean_NH4N_40_80,missing_values,4200,4200,all_samples
final_NH4N_40_80,missing_values,4200,4200,all_samples
mean_CO2Conc_40_80,missing_values,4200,4200,all_samples
final_CO2Conc_40_80,missing_values,4200,4200,all_samples
mean_O2Conc_40_80,missing_values,4200,4200,all_samples
final_O2Conc_40_80,missing_values,4200,4200,all_samples
mean_N2OConc_40_80,missing_values,4200,4200,all_samples
final_N2OConc_40_80,missing_values,4200,4200,all_samples
seasonal_sum_RMassM_40_80,missing_values,4200,4200,all_samples
seasonal_mean_RMassM_40_80,missing_values,4200,4200,all_samples
final_sum_RMassM_40_80,missing_values,4200,4200,all_samples
seasonal_sum_RMassY_40_80,missing_values,4200,4200,all_samples
seasonal_mean_RMassY_40_80,missing_values,4200,4200,all_samples
final_sum_RMassY_40_80,missing_values,4200,4200,all_samples
seasonal_sum_RDenM_40_80,missing_values,4200,4200,all_samples
seasonal_mean_RDenM_40_80,missing_values,4200,4200,all_samples
final_sum_RDenM_40_80,missing_values,4200,4200,all_samples
seasonal_sum_RDenY_40_80,missing_values,4200,4200,all_samples
seasonal_mean_RDenY_40_80,missing_values,4200,4200,all_samples
final_sum_RDenY_40_80,missing_values,4200,4200,all_samples
seasonal_sum_WaterSink_40_80,missing_values,4200,4200,all_samples
seasonal_mean_WaterSink_40_80,missing_values,4200,4200,all_samples
final_sum_WaterSink_40_80,missing_values,4200,4200,all_samples
seasonal_sum_NitSink_40_80,missing_values,4200,4200,all_samples
seasonal_mean_NitSink_40_80,missing_values,4200,4200,all_samples
final_sum_NitSink_40_80,missing_values,4200,4200,all_samples
seasonal_sum_GasSink_40_80,missing_values,4200,4200,all_samples
seasonal_mean_GasSink_40_80,missing_values,4200,4200,all_samples
final_sum_GasSink_40_80,missing_values,4200,4200,all_samples
final_runoff_balance_Rainfall,missing_values,4200,4200,all_samples
final_runoff_balance_Inifiltration,missing_values,4200,4200,all_samples
final_runoff_balance_Runoff_end,missing_values,4200,4200,all_samples
final_runoff_balance_WaterStorage,missing_values,4200,4200,all_samples
final_runoff_balance_LeftDischarge,missing_values,4200,4200,all_samples
final_runoff_balance_RightDischarge,missing_values,4200,4200,all_samples
mean_thNew_40_80,missing_values,3892,3892,without_slow_trajectories
final_thNew_40_80,missing_values,3892,3892,without_slow_trajectories
min_thNew_40_80,missing_values,3892,3892,without_slow_trajectories
max_thNew_40_80,missing_values,3892,3892,without_slow_trajectories
mean_hNew_40_80,missing_values,3892,3892,without_slow_trajectories
final_hNew_40_80,missing_values,3892,3892,without_slow_trajectories
min_hNew_40_80,missing_values,3892,3892,without_slow_trajectories
mean_Temp_40_80,missing_values,3892,3892,without_slow_trajectories
final_Temp_40_80,missing_values,3892,3892,without_slow_trajectories
mean_NO3N_40_80,missing_values,3892,3892,without_slow_trajectories
final_NO3N_40_80,missing_values,3892,3892,without_slow_trajectories
mean_NH4N_40_80,missing_values,3892,3892,without_slow_trajectories
final_NH4N_40_80,missing_values,3892,3892,without_slow_trajectories
mean_CO2Conc_40_80,missing_values,3892,3892,without_slow_trajectories
final_CO2Conc_40_80,missing_values,3892,3892,without_slow_trajectories
mean_O2Conc_40_80,missing_values,3892,3892,without_slow_trajectories
final_O2Conc_40_80,missing_values,3892,3892,without_slow_trajectories
mean_N2OConc_40_80,missing_values,3892,3892,without_slow_trajectories
final_N2OConc_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_RMassM_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_RMassM_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_RMassM_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_RMassY_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_RMassY_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_RMassY_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_RDenM_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_RDenM_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_RDenM_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_RDenY_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_RDenY_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_RDenY_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_WaterSink_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_WaterSink_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_WaterSink_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_NitSink_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_NitSink_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_NitSink_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_sum_GasSink_40_80,missing_values,3892,3892,without_slow_trajectories
seasonal_mean_GasSink_40_80,missing_values,3892,3892,without_slow_trajectories
final_sum_GasSink_40_80,missing_values,3892,3892,without_slow_trajectories
final_runoff_balance_Rainfall,missing_values,3892,3892,without_slow_trajectories
final_runoff_balance_Inifiltration,missing_values,3892,3892,without_slow_trajectories
final_runoff_balance_Runoff_end,missing_values,3892,3892,without_slow_trajectories
final_runoff_balance_WaterStorage,missing_values,3892,3892,without_slow_trajectories
final_runoff_balance_LeftDischarge,missing_values,3892,3892,without_slow_trajectories
final_runoff_balance_RightDischarge,missing_values,3892,3892,without_slow_trajectories
