metric,parameter,mu,mu_star,sigma,mu_star_conf
final_ear_dm,JuvenileLeaves,-0.6821719062447855,0.6826193249049267,0.3409025144523869,0.03789906885748276
final_ear_dm,Rmax_LTAR,0.54913793493216,0.54913793493216,0.28639958951653405,0.03121060085383206
final_ear_dm,LM_min,0.4201450220914601,0.44131423894493205,0.36500323643296123,0.03686073454947634
final_ear_dm,StayGreen,0.19490865539666044,0.2633654227926478,0.2887204542040951,0.025495267371319238
final_ear_dm,thetaS,0.1288890642099345,0.12920392499318362,0.09119659931359363,0.010390967106574658
final_ear_dm,Rmax_LTIR,0.03139791081376859,0.12914434053202314,0.20767012285018763,0.018687303161076283
final_ear_dm,n,-0.12493393828304733,0.12868441988441828,0.09356155552311667,0.0099702989698524
final_ear_dm,thetaR,-0.02709349238460367,0.02872862693546158,0.02811524159592528,0.002972067577442371
final_ear_dm,Alfa,-0.021953532845750197,0.02813697227382425,0.03812063482461455,0.0038446212488671685
final_ear_dm,Ks,-0.007527244612654445,0.015606292436049518,0.04488212456464851,0.004850519748128838
final_ear_dm,PhyllFrmTassel,-0.0030396864453905363,0.00715753324643118,0.00854185141136247,0.0006159567326545429
final_ear_dm,Diffz,-0.0006024758982252486,0.0038543024013330328,0.01221310114915009,0.0013135088004484336
final_ear_dm,Diffx,0.00010629414757183361,0.0035025456484398853,0.004977241511317727,0.00040088846662143676
final_shoot_dm,LM_min,0.776528289241721,0.7775573900515345,0.35496516544433016,0.038009070097574864
final_shoot_dm,JuvenileLeaves,0.44336072740461363,0.48583575482169183,0.3482728958597834,0.03230986000528232
final_shoot_dm,StayGreen,0.20534995367613912,0.33630057376205547,0.35212984737033154,0.026320184438238536
final_shoot_dm,Rmax_LTAR,0.24218225044080327,0.2783955094342671,0.30617589152497704,0.029909836663377293
final_shoot_dm,thetaS,0.22659662141996223,0.22659662141996223,0.18431875419276283,0.02187710517099618
final_shoot_dm,n,-0.22534140279605935,0.22534140279605935,0.18266810502792105,0.020230885164671534
final_shoot_dm,Rmax_LTIR,0.07448573438156479,0.07828108510275816,0.07328763892195002,0.007677507973562955
final_shoot_dm,thetaR,-0.051154482277983714,0.051186801412994976,0.049556019210051754,0.005535424267727496
final_shoot_dm,Alfa,-0.03870904460288896,0.04201996945650834,0.05266043647593641,0.005758905415008587
final_shoot_dm,Ks,-0.018432960028953883,0.02071080851136344,0.024348422959443106,0.0025665888042234806
final_shoot_dm,PhyllFrmTassel,0.008489736774641755,0.010723303387821029,0.013171598272292383,0.0012424729572722854
final_shoot_dm,Diffx,0.0011980532256317274,0.0062417052318043224,0.009233745093347923,0.0008066291675218827
final_shoot_dm,Diffz,0.0001033399904021341,0.005042827487388029,0.008462732200012079,0.0007548645642317635
max_lai,JuvenileLeaves,0.9202304452342469,0.9202304452342469,0.35902373478387506,0.04077938115377778
max_lai,LM_min,0.6823972271385492,0.6823972271385492,0.28820617008085814,0.031881036858836
max_lai,Rmax_LTAR,-0.03880917002974608,0.04534851661176811,0.04668858046680228,0.004653987675046766
max_lai,StayGreen,0.023483381460695098,0.02480846892247167,0.023497465010074388,0.002464193816023568
max_lai,Rmax_LTIR,0.009374890231021685,0.01230224516093647,0.023363177885059462,0.002528132847749982
max_lai,n,0.0074810205731109854,0.009519615414121736,0.01250244958566435,0.0012306362960461585
max_lai,thetaS,-0.001015046479906212,0.006976434887120447,0.018926763799049152,0.0020883376080431558
max_lai,Alfa,0.001135699262767996,0.006270074395127811,0.01211062343000779,0.0011484489552466973
max_lai,thetaR,-0.002516353577138848,0.004871132691347587,0.009704829658215982,0.0010009552927262996
max_lai,Ks,0.0003063919237934912,0.004616000857621104,0.012915778059849168,0.0014189424313866715
max_lai,Diffz,0.0004395028708391072,0.001632819408863738,0.008566525272597334,0.0009515409894462068
max_lai,Diffx,-4.630527271560559e-05,0.0011590388466005046,0.0034615049640076816,0.00037395951838032205
max_lai,PhyllFrmTassel,0.0,0.0,0.0,0.0
mean_top20_theta,n,-0.9044298584162918,0.9044298584162918,0.35074840656044687,0.040033434776038004
mean_top20_theta,thetaS,0.6740295268118408,0.6740295268118408,0.29705121845855625,0.03360856117185946
mean_top20_theta,Alfa,-0.11664327445628085,0.11664327445628085,0.07008130381818407,0.008017640605883515
mean_top20_theta,LM_min,-0.11087865868791828,0.11087865868791828,0.0621895932526515,0.007073370325993357
mean_top20_theta,JuvenileLeaves,-0.1059249210142515,0.1059249210142515,0.05825254840349752,0.006832732934756665
mean_top20_theta,thetaR,0.09540456029229388,0.09540456029229388,0.04966445729901047,0.005631815625645894
mean_top20_theta,Ks,-0.05063168973639967,0.05063168973639967,0.02499179852005573,0.002789109259972718
mean_top20_theta,Rmax_LTAR,-0.03549953580113977,0.03721861178682321,0.030437677098729018,0.0031810717035429185
mean_top20_theta,StayGreen,-0.0319142199138153,0.0319142199138153,0.02612782216138003,0.0030265709699884742
mean_top20_theta,Rmax_LTIR,-0.0012416885101377694,0.003666107790079,0.006355972512141751,0.0006103035317502029
mean_top20_theta,PhyllFrmTassel,-0.0014097509988203708,0.0018350402280343635,0.002674735125588361,0.00026965475523414766
mean_top20_theta,Diffx,-0.0007792132820926262,0.0018099919950929943,0.0027054920262147026,0.0002464715167667454
mean_top20_theta,Diffz,-0.0008618337569395338,0.001686711067321119,0.0025430889155923665,0.00023653810279964274
seasonal_actual_transpiration,LM_min,0.7405499425160149,0.7405499425160149,0.31641825245107735,0.03533835903846263
seasonal_actual_transpiration,JuvenileLeaves,0.6433268940938413,0.643901167796037,0.29871190284999294,0.03408263460297109
seasonal_actual_transpiration,StayGreen,0.2838850723426363,0.3011751374195445,0.2672241097180795,0.027520952250009154
seasonal_actual_transpiration,thetaS,0.27685006393364137,0.27685006393364137,0.21525411909410888,0.025082356795497435
seasonal_actual_transpiration,Rmax_LTAR,0.1454400197629762,0.1882303792358084,0.20701059022731438,0.018724866497102446
seasonal_actual_transpiration,n,-0.037158631535024064,0.1442218138493358,0.21236549023971316,0.018261691537765398
seasonal_actual_transpiration,thetaR,-0.06202246429603246,0.06309300221380618,0.06238846809383915,0.0067575742843751585
seasonal_actual_transpiration,Alfa,0.000722388328498272,0.040122119100253366,0.06457917715931101,0.00587410240363059
seasonal_actual_transpiration,Ks,-0.03373673598447019,0.03516295594514589,0.034021623309273656,0.0036147051696835577
