metric,parameter,mu,mu_star,sigma,mu_star_conf
actual_et,LM_min,0.5194340811808619,0.5234083928717556,0.3220305082161763,0.03497296647566754
actual_et,thetaS,0.5123500272349689,0.5123500272349689,0.2667052678882786,0.03144229673337162
actual_et,n,-0.45632081436610566,0.4840644592892793,0.34165196506609025,0.03379429320743823
actual_et,JuvenileLeaves,0.4240629473422457,0.4391136800672816,0.28612017603466644,0.029488948058218677
actual_et,StayGreen,0.2112872819806799,0.26981349132248716,0.2990007516626727,0.028154433391135526
actual_et,Alfa,-0.231553524372084,0.2359424895699911,0.12963400909637357,0.014036419180100743
actual_et,Rmax_LTAR,0.13126165185602456,0.2035677481640492,0.21970762179995923,0.017508291634036204
actual_et,thetaR,-0.105786640644256,0.10680471018036108,0.07940190720122227,0.008493384874230915
actual_et,Ks,0.007357953313270841,0.03752085350016513,0.05984163607669735,0.005248372588133516
actual_et,Rmax_LTIR,0.006297020979374711,0.02010575747194053,0.033385972461800105,0.0030572228041346535
actual_et,Diffz,-0.001179060542310466,0.012987089855062856,0.02045345112440041,0.0017568995362593025
actual_et,Diffx,0.0013062824063532665,0.012721372794274438,0.018084421749151924,0.0013757809477743196
actual_et,PhyllFrmTassel,0.004350071246390947,0.010125746094835365,0.014872267699759646,0.0013142863203239007
date_max_lai_doy,JuvenileLeaves,0.8348222543896774,0.8348222543896774,0.3325255361326813,0.03802951182425276
date_max_lai_doy,Rmax_LTAR,-0.7025019460003248,0.7042742185914961,0.34388041297306243,0.03902619658893688
date_max_lai_doy,StayGreen,0.042787938400914105,0.12863764322388618,0.1974042200875448,0.01767042603048983
date_max_lai_doy,LM_min,0.0826615005821001,0.12409902289517237,0.16932901487498675,0.015218372645481367
date_max_lai_doy,Rmax_LTIR,0.002235944819484364,0.07604280580645216,0.14150639256903857,0.013193767924517383
date_max_lai_doy,Alfa,-0.01915583678583692,0.06057524020652854,0.12769939526402488,0.012967473193559769
date_max_lai_doy,n,0.010163436420653428,0.05922644210921098,0.12049197749237421,0.012022362164729196
date_max_lai_doy,thetaS,-0.006173975744794649,0.054136854764108525,0.12324981750950252,0.01258169994543724
date_max_lai_doy,Ks,0.011103671286631955,0.05361325098419132,0.1275431521826907,0.01320367408874354
date_max_lai_doy,thetaR,-0.008153653416220919,0.046662481473309064,0.10667176734059348,0.010918951887077895
date_max_lai_doy,Diffx,-0.0008347910216217939,0.03038144268634294,0.07293942789066833,0.007567710085347176
date_max_lai_doy,Diffz,0.005966595085736591,0.022465992606987766,0.06031729503725662,0.0064116524216763825
date_max_lai_doy,PhyllFrmTassel,0.0,0.0,0.0,0.0
drainage_rain_ratio,thetaS,-0.8230486698618797,0.8230486698618797,0.35769868493001106,0.041346094780532854
drainage_rain_ratio,JuvenileLeaves,0.436946873149015,0.436946873149015,0.24958709272373125,0.028156736846702668
drainage_rain_ratio,LM_min,0.4085194586852654,0.4085194586852654,0.23658124521554427,0.02624026380057778
drainage_rain_ratio,n,0.31299975064851177,0.31469256689099995,0.24823340916116002,0.02834160315025049
drainage_rain_ratio,thetaR,0.16190246809285938,0.1619403919951597,0.10629097621491551,0.011908256623447699
drainage_rain_ratio,Rmax_LTAR,0.10428329074011528,0.12024299862241618,0.136950464283329,0.013668587519205144
drainage_rain_ratio,Ks,0.09286932612203437,0.09298848540055166,0.08295361674920561,0.009324607562611296
drainage_rain_ratio,StayGreen,0.07761120506972508,0.07781009392062677,0.10125670880198344,0.011824625548622332
drainage_rain_ratio,Alfa,0.035173693159947395,0.06462771386849137,0.09992333577487719,0.009199574245812237
drainage_rain_ratio,Rmax_LTIR,0.009125430760713827,0.014296585614028811,0.041080005950588604,0.004517385040171888
drainage_rain_ratio,Diffz,0.0049165288093210935,0.010353777914250713,0.03924588914542069,0.0042671218434289955
drainage_rain_ratio,PhyllFrmTassel,0.007963915732480982,0.009723490110904998,0.03811371543068455,0.004199304283939579
drainage_rain_ratio,Diffx,0.0011425134443690638,0.00638062696050357,0.026734134082030278,0.0027822386767168746
ear_shoot_ratio,JuvenileLeaves,-0.9252681557281206,0.9252681557281206,0.2548428680077202,0.029248210093030972
ear_shoot_ratio,Rmax_LTAR,0.4602795809309195,0.4602795809309195,0.21095919351243694,0.023290943792229252
ear_shoot_ratio,Rmax_LTIR,-0.01292749900632672,0.11581966266702177,0.18465749822989827,0.016175653232844676
ear_shoot_ratio,StayGreen,0.05900607444618714,0.0875952414097155,0.09980275873874332,0.008594193702273477
ear_shoot_ratio,LM_min,0.0005639718872077232,0.08671710755872225,0.11233978265543976,0.008068669507779982
ear_shoot_ratio,thetaS,0.02994843068101313,0.03495623444430105,0.04046007452314293,0.004259798857606006
ear_shoot_ratio,n,-0.026766893704396454,0.03488251687524571,0.04211467289946679,0.0039032200985934535
ear_shoot_ratio,Alfa,-0.0037249031946217158,0.014418472728930567,0.04134863009119837,0.004361927160205436
ear_shoot_ratio,Ks,-0.0004888947831638925,0.01047043971135777,0.04264003361228263,0.00466845290472463
ear_shoot_ratio,thetaR,-0.005493607390814757,0.010232837938608215,0.026982694456045394,0.002947367848969158
ear_shoot_ratio,PhyllFrmTassel,-0.0068425029283841945,0.006910488494102878,0.004543775343994018,0.0005012972487483151
ear_shoot_ratio,Diffz,-0.0007652609306961018,0.0031579632212388555,0.010834107768024811,0.0011738314850010304
ear_shoot_ratio,Diffx,-0.0003278813815739113,0.002655998243250201,0.0039028890605840513,0.0003253235269692288
emerged_flag,JuvenileLeaves,0.0,0.0,0.0,0.0
emerged_flag,Rmax_LTAR,0.0,0.0,0.0,0.0
emerged_flag,Rmax_LTIR,0.0,0.0,0.0,0.0
emerged_flag,PhyllFrmTassel,0.0,0.0,0.0,0.0
emerged_flag,StayGreen,0.0,0.0,0.0,0.0
emerged_flag,LM_min,0.0,0.0,0.0,0.0
emerged_flag,Diffx,0.0,0.0,0.0,0.0
emerged_flag,Diffz,0.0,0.0,0.0,0.0
emerged_flag,thetaR,0.0,0.0,0.0,0.0
emerged_flag,thetaS,0.0,0.0,0.0,0.0
emerged_flag,Alfa,0.0,0.0,0.0,0.0
emerged_flag,n,0.0,0.0,0.0,0.0
emerged_flag,Ks,0.0,0.0,0.0,0.0
emergence_doy_censored,Alfa,-0.016808048173048873,0.016808048173048873,0.1518734603135489,0.017243770449438048
emergence_doy_censored,Ks,0.008590920108878,0.008590920108878,0.10519707828304106,0.012230818775434341
emergence_doy_censored,thetaR,-0.006405126152203487,0.006405126152203487,0.11094003924504585,0.013179631288523263
emergence_doy_censored,thetaS,-0.003333333333333333,0.003333333333333333,0.05773502691896257,0.006309300429504677
emergence_doy_censored,JuvenileLeaves,0.0,0.0,0.0,0.0
emergence_doy_censored,Rmax_LTAR,0.0,0.0,0.0,0.0
emergence_doy_censored,Rmax_LTIR,0.0,0.0,0.0,0.0
emergence_doy_censored,PhyllFrmTassel,0.0,0.0,0.0,0.0
emergence_doy_censored,StayGreen,0.0,0.0,0.0,0.0
emergence_doy_censored,LM_min,0.0,0.0,0.0,0.0
emergence_doy_censored,Diffx,0.0,0.0,0.0,0.0
emergence_doy_censored,Diffz,0.0,0.0,0.0,0.0
emergence_doy_censored,n,0.0,0.0,0.0,0.0
emergence_to_silking_days,JuvenileLeaves,0.8653211944293302,0.8653211944293302,0.35124464155260593,0.040278178640004866
emergence_to_silking_days,Rmax_LTAR,-0.6758535013753647,0.6758535013753647,0.29598958144207327,0.03309967536243517
emergence_to_silking_days,PhyllFrmTassel,0.09612510046933104,0.09612510046933104,0.05032185699932159,0.005593715215174348
emergence_to_silking_days,Rmax_LTIR,-0.0067332996156614444,0.08329271656726187,0.1479488667870226,0.013730786973860052
emergence_to_silking_days,Alfa,-0.005058706156094794,0.008032659864802326,0.03945793350636457,0.004490091342106104
emergence_to_silking_days,n,0.0010689222366566554,0.006606130816436438,0.034390051787081315,0.00371217025017177
emergence_to_silking_days,thetaS,-0.0012737414583405516,0.006291577737607037,0.034193268676217435,0.0040050340657816225
emergence_to_silking_days,Ks,-0.001143415548708347,0.004759966717752113,0.03583685956420874,0.003972978807934168
emergence_to_silking_days,thetaR,-0.0023810242047062357,0.004548040533549744,0.02818411559971638,0.0031900390884711137
emergence_to_silking_days,LM_min,-0.0011924314572343611,0.0038927400815709696,0.029288369830890917,0.0032276828607568815
emergence_to_silking_days,StayGreen,0.0006785170864321375,0.0021747246482196757,0.020501528537108238,0.0022384317786267624
emergence_to_silking_days,Diffz,0.00034640799647056326,0.00034640799647056326,0.005999962500351558,0.000676214695775062
emergence_to_silking_days,Diffx,0.0,0.0,0.0,0.0
emergence_to_tasselinit_days,JuvenileLeaves,0.9652988754660239,0.9652988754660239,0.22728271415106527,0.025734505665583947
emergence_to_tasselinit_days,Rmax_LTIR,-0.38162127238569815,0.38162127238569815,0.22113281482975572,0.0246884035884052
emergence_to_tasselinit_days,Rmax_LTAR,0.028533432325014787,0.10522447128851958,0.14178786093714466,0.0113811876969776
emergence_to_tasselinit_days,Alfa,-0.010526106768074998,0.01412516627366989,0.05174993751187849,0.006038535343494378
emergence_to_tasselinit_days,thetaS,-0.006944653202385536,0.009082711601840722,0.041575317725977355,0.004626794167836911
emergence_to_tasselinit_days,n,0.0068756612690562355,0.0068756612690562355,0.03542936699273438,0.004029110222731651
emergence_to_tasselinit_days,Ks,0.003120029671433582,0.0062800589887293526,0.031888443240701135,0.0035194382352411557
emergence_to_tasselinit_days,thetaR,-0.002377795531359022,0.003989122065404038,0.0276257122945663,0.003184189876428501
emergence_to_tasselinit_days,LM_min,-0.0016491083463697593,0.0024509766893026402,0.019595419393656464,0.002158482818607416
emergence_to_tasselinit_days,Diffz,0.0004975288880282986,0.0011385347744925077,0.015234683489163837,0.001716835458644254
emergence_to_tasselinit_days,Diffx,0.0006735753140545636,0.0006735753140545636,0.01166666666666667,0.001253045184839579
emergence_to_tasselinit_days,StayGreen,0.00040102208598815644,0.00040102208598815644,0.00694590627888742,0.0007859790107851176
emergence_to_tasselinit_days,PhyllFrmTassel,0.0,0.0,0.0,0.0
et_deficit,LM_min,-0.683415862664089,0.683415862664089,0.2892092995402401,0.032629256445401565
et_deficit,JuvenileLeaves,-0.510444955599691,0.5112324281045716,0.2572947190986921,0.02860043274532833
et_deficit,n,0.41763770424725505,0.42425881036675633,0.23275807749619218,0.024436347152887488
