metric,parameter,mu,mu_star,sigma,mu_star_conf
actual_et,LM_min,0.5343363442562784,0.5359214035720611,0.32089615862358006,0.038642353375359914
actual_et,thetaS,0.5202256730771465,0.5202256730771465,0.26885029996168885,0.03194666292948171
actual_et,n,-0.4851018969642267,0.4890960519621182,0.3105319587311482,0.0359013390321755
actual_et,JuvenileLeaves,0.44629658841287356,0.44721927680997936,0.26117550535345574,0.030388806234570118
actual_et,StayGreen,0.19375199874412125,0.25563724068607063,0.285679524673341,0.027281140608614276
actual_et,Alfa,-0.24006083480000684,0.24054675009309642,0.12245955787037487,0.01467126159902158
actual_et,Rmax_LTAR,0.13747831980422984,0.2031881953377448,0.21712334820221948,0.018307234910099217
actual_et,thetaR,-0.10553600889748979,0.10663464508753123,0.08011898875858017,0.008781766480089038
actual_et,Ks,0.010812868119090747,0.03609512292039607,0.05057174275636162,0.004450204822759681
actual_et,Rmax_LTIR,0.007529829634247637,0.019659751933077212,0.032624171550412286,0.003189728490970024
actual_et,Diffx,0.0015584543229482757,0.012409252175147623,0.017613876317050504,0.0014782169585904482
actual_et,Diffz,-0.001394175170840789,0.012318224366575422,0.01946399055629915,0.0017754753041375683
actual_et,PhyllFrmTassel,0.004001248076308962,0.009942876233498581,0.014830459543986686,0.0013456318832291614
date_max_lai_doy,JuvenileLeaves,0.8468693532660623,0.8468693532660623,0.3386885201515359,0.04075892899137776
date_max_lai_doy,Rmax_LTAR,-0.7060580302163725,0.7079705545953341,0.3461061425841254,0.040872382738197856
date_max_lai_doy,StayGreen,0.04391257617254838,0.1326453017362788,0.20200209062308438,0.018519003074847672
date_max_lai_doy,LM_min,0.08405026797306897,0.1275863843200221,0.17338999002867628,0.017263503892215138
date_max_lai_doy,Rmax_LTIR,-0.0031830125726585853,0.07199592871494631,0.1304765160087377,0.012470203328869724
date_max_lai_doy,Alfa,-0.018379354764479525,0.061567670417340105,0.12469110928390253,0.012429359039074113
date_max_lai_doy,n,0.011371818526963232,0.05966286169640321,0.1223464147970937,0.012680553759205451
date_max_lai_doy,thetaS,-0.007434696430850257,0.05403076396139883,0.12508721909497916,0.013431044130793489
date_max_lai_doy,Ks,0.008462768706070264,0.052699205616944196,0.12489438040502084,0.013463614789387596
date_max_lai_doy,thetaR,-0.007923140098370432,0.04873846636068506,0.10995579831885462,0.011544616230644476
date_max_lai_doy,Diffx,-0.00264339892710619,0.029580368188610148,0.07153470990356885,0.007542974299758011
date_max_lai_doy,Diffz,0.006669004615600499,0.02179126262451695,0.05887555485651488,0.0065659556603592205
date_max_lai_doy,PhyllFrmTassel,0.0,0.0,0.0,0.0
drainage_rain_ratio,thetaS,-0.8311158842440928,0.8311158842440928,0.35902532266012555,0.04373040692365473
drainage_rain_ratio,JuvenileLeaves,0.4417980653036686,0.4417980653036686,0.2479642001189698,0.028912318293069235
drainage_rain_ratio,LM_min,0.4185408572802587,0.4185408572802587,0.23508381238309436,0.02845768281965362
drainage_rain_ratio,n,0.30050200500227275,0.3023287851200657,0.24284339293748752,0.028438468889108923
drainage_rain_ratio,thetaR,0.16358836966063137,0.1636292696225884,0.10666432638916964,0.012779239954166527
drainage_rain_ratio,Rmax_LTAR,0.10509700470655718,0.12038882152000499,0.1377426989390586,0.014526124204310273
drainage_rain_ratio,Ks,0.09294103661405409,0.09306802246353998,0.08308116730599133,0.00994119975219155
drainage_rain_ratio,StayGreen,0.07565529764772355,0.07586284784254971,0.09912023638622902,0.011833980031562448
drainage_rain_ratio,Alfa,0.03227399586803649,0.0636598400542894,0.09786339860270464,0.009740960224562013
drainage_rain_ratio,Rmax_LTIR,0.008814646976057093,0.014386836742193048,0.04169169018234316,0.0047704752863068555
drainage_rain_ratio,Diffz,0.005223086539885926,0.010731951756199865,0.0404660669613385,0.004654761292022271
drainage_rain_ratio,PhyllFrmTassel,0.008075879359556224,0.009969270665263335,0.03907529089565774,0.0044634998361633635
drainage_rain_ratio,Diffx,0.0014627917610288027,0.006603678878471987,0.027461239747346648,0.0031393332125672787
ear_shoot_ratio,JuvenileLeaves,-0.9339455436235597,0.9339455436235597,0.2589977620420816,0.03176716317264136
ear_shoot_ratio,Rmax_LTAR,0.4593072719515937,0.4593072719515937,0.20727389301167515,0.024450194574481984
ear_shoot_ratio,Rmax_LTIR,-0.011921919061223717,0.1134023500084276,0.18069173179080533,0.016034241895038014
ear_shoot_ratio,LM_min,-0.0035266807776772003,0.08681323237088895,0.11320479061868144,0.008840950835172971
ear_shoot_ratio,StayGreen,0.05368678592385122,0.0838471165348102,0.09833927648353594,0.008868795687003043
ear_shoot_ratio,thetaS,0.028959259883025647,0.034267724131676315,0.04078048335671999,0.0042772110960891995
ear_shoot_ratio,n,-0.02598247575670903,0.033979308662182,0.04193635997626167,0.004092553807651468
ear_shoot_ratio,Alfa,-0.0035464037172551616,0.014872165395798841,0.04287281544793148,0.004667906254638516
ear_shoot_ratio,Ks,-0.00053963852396834,0.01091916440642757,0.044262452762259,0.005202959746045446
ear_shoot_ratio,thetaR,-0.005234558315365016,0.010310075022297072,0.027883975314870416,0.003277270266152263
ear_shoot_ratio,PhyllFrmTassel,-0.0068108973384539105,0.006884263056855367,0.004530105730462143,0.0005031333385670269
ear_shoot_ratio,Diffz,-0.0008450971275107548,0.0032387763835058383,0.011217245668910027,0.001241614682917242
ear_shoot_ratio,Diffx,-0.00032624891586635466,0.0026417140287655684,0.0039241967966788275,0.00033410787057151537
emerged_flag,JuvenileLeaves,0.0,0.0,0.0,0.0
emerged_flag,Rmax_LTAR,0.0,0.0,0.0,0.0
emerged_flag,Rmax_LTIR,0.0,0.0,0.0,0.0
emerged_flag,PhyllFrmTassel,0.0,0.0,0.0,0.0
emerged_flag,StayGreen,0.0,0.0,0.0,0.0
emerged_flag,LM_min,0.0,0.0,0.0,0.0
emerged_flag,Diffx,0.0,0.0,0.0,0.0
emerged_flag,Diffz,0.0,0.0,0.0,0.0
emerged_flag,thetaR,0.0,0.0,0.0,0.0
emerged_flag,thetaS,0.0,0.0,0.0,0.0
emerged_flag,Alfa,0.0,0.0,0.0,0.0
emerged_flag,n,0.0,0.0,0.0,0.0
emerged_flag,Ks,0.0,0.0,0.0,0.0
emergence_doy_censored,Alfa,-0.018138181481707417,0.018138181481707417,0.15771257218653734,0.018424729846979397
emergence_doy_censored,Ks,0.009270777095911512,0.009270777095911512,0.10926582991146604,0.012636422016062852
emergence_doy_censored,thetaR,-0.006912006639068511,0.006912006639068511,0.11524618148307803,0.013084410153834491
emergence_doy_censored,thetaS,-0.003597122302158273,0.003597122302158273,0.059976014390406715,0.007148318091360486
emergence_doy_censored,JuvenileLeaves,0.0,0.0,0.0,0.0
emergence_doy_censored,Rmax_LTAR,0.0,0.0,0.0,0.0
emergence_doy_censored,Rmax_LTIR,0.0,0.0,0.0,0.0
emergence_doy_censored,PhyllFrmTassel,0.0,0.0,0.0,0.0
emergence_doy_censored,StayGreen,0.0,0.0,0.0,0.0
emergence_doy_censored,LM_min,0.0,0.0,0.0,0.0
emergence_doy_censored,Diffx,0.0,0.0,0.0,0.0
emergence_doy_censored,Diffz,0.0,0.0,0.0,0.0
emergence_doy_censored,n,0.0,0.0,0.0,0.0
emergence_to_silking_days,JuvenileLeaves,0.8772466218482493,0.8772466218482493,0.3574801663933935,0.04357692549231043
emergence_to_silking_days,Rmax_LTAR,-0.6788095583660798,0.6788095583660798,0.2978694143329373,0.03541163441942006
emergence_to_silking_days,PhyllFrmTassel,0.09665601002867463,0.09665601002867463,0.05129766475138912,0.005914252240000124
emergence_to_silking_days,Rmax_LTIR,-0.007227041513328861,0.08260151787624631,0.14740775700283731,0.014087058851695684
emergence_to_silking_days,Alfa,-0.0048881453241192705,0.008097447887472721,0.040424429038975834,0.004673997069432088
emergence_to_silking_days,thetaS,-0.0013745411420941198,0.006789472378712629,0.0355232262142666,0.004132881483468801
emergence_to_silking_days,n,0.0007489078090948507,0.00672431275130325,0.035389191005381154,0.003948911048122677
emergence_to_silking_days,Ks,-0.0012339016712680005,0.005136654731387172,0.037231291502919574,0.004492245524609
emergence_to_silking_days,thetaR,-0.0025694505806182406,0.00490795741030548,0.029273660425918436,0.003498765769113377
emergence_to_silking_days,LM_min,-0.001286796536583843,0.004200798649177305,0.030427223728021584,0.0036172360053145763
emergence_to_silking_days,StayGreen,0.001071616709864073,0.0020074211332853655,0.020515875893134413,0.0023676408787468234
emergence_to_silking_days,Diffz,0.00037382157892506824,0.00037382157892506824,0.006232851294381134,0.0007199930921380731
emergence_to_silking_days,Diffx,0.0,0.0,0.0,0.0
emergence_to_tasselinit_days,JuvenileLeaves,0.96570923577155,0.96570923577155,0.22550743340887294,0.02701840143764044
emergence_to_tasselinit_days,Rmax_LTIR,-0.3763082605799185,0.3763082605799185,0.21953679756978436,0.02593251930105598
emergence_to_tasselinit_days,Rmax_LTAR,0.030186287154074693,0.1039172053909631,0.14007860588285484,0.011609924797484414
emergence_to_tasselinit_days,Alfa,-0.010904558365831605,0.014788435530142642,0.05323314145268822,0.0060701097317571
emergence_to_tasselinit_days,thetaS,-0.007494230074516765,0.009801487340115886,0.04314690797264926,0.005102675696685082
emergence_to_tasselinit_days,n,0.007419778347902412,0.007419778347902412,0.036754352093234924,0.004035047538130129
emergence_to_tasselinit_days,Ks,0.003430523753268332,0.005887726356778125,0.03139225415327069,0.0038604608645449404
emergence_to_tasselinit_days,thetaR,-0.0025659664007471467,0.004304807984248962,0.02869336106053133,0.0033699822933197657
emergence_to_tasselinit_days,LM_min,-0.0013572740782616984,0.002222599628189268,0.019126098264018447,0.002220804083515838
emergence_to_tasselinit_days,Diffz,0.0005369016777283797,0.0012286346487329221,0.015827442921541812,0.0019123099660181572
emergence_to_tasselinit_days,Diffx,0.0007268798353106802,0.0007268798353106802,0.012119508818627769,0.001444277331868889
emergence_to_tasselinit_days,PhyllFrmTassel,0.0,0.0,0.0,0.0
emergence_to_tasselinit_days,StayGreen,0.0,0.0,0.0,0.0
et_deficit,LM_min,-0.696389589938736,0.696389589938736,0.28937412356044195,0.033711293068219184
et_deficit,JuvenileLeaves,-0.5261910490385657,0.5261910490385657,0.246052745944899,0.029373123383270958
et_deficit,n,0.4315175602030967,0.4315175602030967,0.2181612600387253,0.0252843775797989
et_deficit,thetaS,-0.37504188965037977,0.37504188965037977,0.19551252739427188,0.023757483075465574
et_deficit,StayGreen,-0.2760952123952241,0.2760952123952241,0.1383161551003964,0.016493311499727506
et_deficit,Alfa,0.27375161587805263,0.27375161587805263,0.12402124614543404,0.014650707057252419
et_deficit,Rmax_LTAR,-0.2288494699126254,0.2298462321592026,0.16999967169862654,0.01947769131940622
et_deficit,thetaR,0.1446001115063505,0.14470746444368587,0.09004957278858071,0.010263080107689164
et_deficit,Ks,-0.03816080097210017,0.04856341688167768,0.05163513340420274,0.005029570396099089
et_deficit,Rmax_LTIR,-0.01299265373151311,0.016760505225278718,0.023838058312664254,0.002442451959069411
et_deficit,Diffz,0.003174513356607934,0.009226297915845321,0.015399789337376466,0.0014722254239658917
et_deficit,Diffx,-0.0002293519147427631,0.009114908114251167,0.014121741697350823,0.0012726176825252878
et_deficit,PhyllFrmTassel,-0.0003403312033579794,0.005142279510770231,0.007656392201383773,0.0006445621942160834
et_supply_demand_ratio,n,0.8341903261110098,0.8387854084164655,0.4174438336305213,0.047201201795073436
et_supply_demand_ratio,JuvenileLeaves,-0.5655845650167657,0.5655845650167657,0.3409846799026862,0.03890301372075716
et_supply_demand_ratio,LM_min,-0.3323681122278928,0.3349841768379483,0.3320326345881433,0.03793598625461079
et_supply_demand_ratio,Alfa,0.17366059040719573,0.18471675236441162,0.15583645751684783,0.017083345183668327
et_supply_demand_ratio,thetaS,0.011366156272168713,0.15123365567419036,0.2443358975086844,0.022566775333467105
et_supply_demand_ratio,Rmax_LTAR,-0.046049954177148335,0.1136470436440447,0.17553746796074565,0.015818906085255408
et_supply_demand_ratio,StayGreen,-0.057164277975673146,0.08220026423563424,0.12656848990298822,0.013044621233900301
et_supply_demand_ratio,thetaR,-0.014633413006968556,0.07328032884498421,0.1196310510916145,0.011174896461400224
et_supply_demand_ratio,Rmax_LTIR,0.03356029474639958,0.07286080103978786,0.09554752517550812,0.008491926063232185
et_supply_demand_ratio,Ks,-0.041746154620186694,0.06947229804809242,0.08603345678611776,0.007826634392822888
et_supply_demand_ratio,Diffz,1.8080869511899286e-05,0.04398598552444204,0.07709154708139698,0.007512841392772346
et_supply_demand_ratio,Diffx,-0.0029874568369233005,0.03530894797349486,0.05577135682572449,0.0050824121834851495
et_supply_demand_ratio,PhyllFrmTassel,-0.001260037274071633,0.025303622053029395,0.043811442133828794,0.004198585457684368
final_CO2Conc_0_10,n,-0.7627017524532737,0.7627017524532737,0.3288355099486154,0.03669413398806903
final_CO2Conc_0_10,thetaS,-0.709145326441256,0.709145326441256,0.32345639710474405,0.0395962909312201
final_CO2Conc_0_10,JuvenileLeaves,0.2557624426774998,0.2583711659465047,0.1556739303308365,0.018391087119388177
final_CO2Conc_0_10,thetaR,0.1415095439404792,0.1415095439404792,0.07756899798494193,0.009082801144380715
final_CO2Conc_0_10,LM_min,-0.11332023244423027,0.1381595782971975,0.18176803901667196,0.019090898307597814
final_CO2Conc_0_10,Rmax_LTAR,-0.09536891851165061,0.13445236526225773,0.14262995123925426,0.012206816664065026
final_CO2Conc_0_10,StayGreen,-0.11111963165804192,0.12557483414344564,0.15535357480167744,0.01713757226111749
final_CO2Conc_0_10,Rmax_LTIR,-0.030469874986653697,0.04978620327493001,0.06294233710766582,0.005696959863913821
final_CO2Conc_0_10,Ks,-0.040250092794947574,0.04244047280525862,0.03393453440444531,0.0037004624870745845
final_CO2Conc_0_10,Alfa,-0.012698040097341464,0.03826287288362125,0.05255129160666263,0.004375306771600982
final_CO2Conc_0_10,PhyllFrmTassel,0.010974408650352537,0.01159299851664953,0.012183614670322288,0.001388637695454573
final_CO2Conc_0_10,Diffx,-0.0007321650482431891,0.006195837809194562,0.009993822505625995,0.0009402120079332873
final_CO2Conc_0_10,Diffz,1.2216546373320234e-05,0.00583142006507214,0.009435223953533224,0.0008656352347167858
final_CO2Conc_0_20,n,-0.7671770356728053,0.7671770356728053,0.3290794540568032,0.03677182389006145
final_CO2Conc_0_20,thetaS,-0.7029511881744986,0.7029511881744986,0.322890388467726,0.039503208723294776
final_CO2Conc_0_20,JuvenileLeaves,0.2549268644302525,0.2577600559404273,0.15793563178797324,0.01862370157235099
final_CO2Conc_0_20,LM_min,-0.11722081874714475,0.14202220166852458,0.18476916766463033,0.019416933490682933
final_CO2Conc_0_20,thetaR,0.14018571953474626,0.14018571953474626,0.07673526303834638,0.00895368883356811
final_CO2Conc_0_20,Rmax_LTAR,-0.0975015242018598,0.1365758161407289,0.14420950363994464,0.012392887426796012
final_CO2Conc_0_20,StayGreen,-0.11122272285706246,0.12683301960216475,0.15715168588940903,0.017245194409181788
final_CO2Conc_0_20,Rmax_LTIR,-0.03094365790512196,0.05016044434234131,0.06362745163328314,0.005798813114189286
final_CO2Conc_0_20,Ks,-0.03954157877919905,0.041819543655061256,0.034415199276508136,0.0037535338060086048
final_CO2Conc_0_20,Alfa,-0.01640660122261919,0.03901734034273984,0.05163513484496694,0.00434736661835353
final_CO2Conc_0_20,PhyllFrmTassel,0.011299815614863293,0.011909879921348454,0.011635465725655388,0.0012913804085804745
final_CO2Conc_0_20,Diffx,-0.0010078236651293768,0.006150494011697617,0.009158738294556087,0.0008051312882246984
final_CO2Conc_0_20,Diffz,-4.878283454134037e-05,0.0056858340889623105,0.00868420080102216,0.000770936693328637
final_CO2Conc_0_200,thetaS,-0.7864890240833315,0.7864890240833315,0.33406424067104806,0.04158337632713931
final_CO2Conc_0_200,n,-0.6234850403973524,0.6234850403973524,0.29399632443651247,0.03284064175844774
final_CO2Conc_0_200,JuvenileLeaves,0.3335669833246143,0.3356754384190462,0.18918929194915057,0.02265483548051887
final_CO2Conc_0_200,thetaR,0.15972920450270062,0.15972920450270062,0.08360404493676096,0.009761909792071907
final_CO2Conc_0_200,LM_min,-0.10737399933673009,0.15102704546600426,0.21698696672949103,0.02206154392818228
final_CO2Conc_0_200,StayGreen,-0.1268053107671562,0.15005445778129567,0.17964291557559153,0.0191563801107624
final_CO2Conc_0_200,Rmax_LTAR,-0.06193951502851238,0.1288232056361009,0.16918035293635647,0.01440009750765352
final_CO2Conc_0_200,Rmax_LTIR,-0.0422207037507401,0.059225830173002696,0.07111616617912354,0.006725972066031982
final_CO2Conc_0_200,Alfa,-0.0262567472622856,0.041018783005463896,0.04545546081255397,0.003883995872268894
final_CO2Conc_0_200,Ks,-0.014438004318175266,0.02131783877555569,0.024504464508442413,0.002270945092126648
final_CO2Conc_0_200,PhyllFrmTassel,0.010210137194998758,0.010504679482517765,0.009669898636854772,0.001099931230165657
final_CO2Conc_0_200,Diffx,-0.0010835335464311837,0.0058403818343151755,0.008004646104300024,0.0006455094785982364
final_CO2Conc_0_200,Diffz,0.0007555428039822326,0.005196732479235134,0.008309332684287268,0.000768696748011195
final_CO2Conc_10_20,n,-0.7678689231502264,0.7678689231502264,0.32910342196686154,0.036782598331664335
final_CO2Conc_10_20,thetaS,-0.7019508884682717,0.7019508884682717,0.3227975721516617,0.039488041315565214
final_CO2Conc_10_20,JuvenileLeaves,0.2547876769650989,0.25765622658310317,0.15832372244303283,0.018664303212920518
final_CO2Conc_10_20,LM_min,-0.11783555191383642,0.14263527534316728,0.18526144903603478,0.019470760402440446
final_CO2Conc_10_20,thetaR,0.13997234430763283,0.13997234430763283,0.076626220706129,0.008935966801472123
final_CO2Conc_10_20,Rmax_LTAR,-0.09783668144528859,0.13691398300938323,0.14447216961910272,0.012423858116646726
final_CO2Conc_10_20,StayGreen,-0.11123705720275713,0.12703018412290462,0.15744566987402084,0.01726350668599078
final_CO2Conc_10_20,Rmax_LTIR,-0.03101792651479457,0.05021800702650444,0.06375601653995615,0.005818307666403851
final_CO2Conc_10_20,Ks,-0.039428581218936734,0.04171998802459719,0.03455003617095774,0.003769935571356588
final_CO2Conc_10_20,Alfa,-0.016995045268311294,0.039168799092009,0.05153620814292182,0.004350204324447176
final_CO2Conc_10_20,PhyllFrmTassel,0.011350608987469642,0.011959452163910499,0.011682185582975563,0.001292982250995826
final_CO2Conc_10_20,Diffx,-0.0010513984908425511,0.006145727152628723,0.009209924928346025,0.0008147241411769092
final_CO2Conc_10_20,Diffz,-5.808267712891531e-05,0.005662159328345708,0.008677784426507714,0.0007743724814463651
final_CO2Conc_120_200,thetaS,-0.8161352377747606,0.8161352377747606,0.33192380784821557,0.04156672050626855
final_CO2Conc_120_200,n,-0.543352331469235,0.543352331469235,0.27206801263887703,0.03068738644124711
final_CO2Conc_120_200,JuvenileLeaves,0.3670582825927096,0.3714745988061744,0.2037637878599953,0.023869367137333362
final_CO2Conc_120_200,thetaR,0.16552052534199513,0.16552052534199513,0.08485799796949893,0.009887308786302274
final_CO2Conc_120_200,StayGreen,-0.13980778593633306,0.1631925288582472,0.1896669450450923,0.02030689930484751
final_CO2Conc_120_200,LM_min,-0.09830956879929922,0.1557717023542892,0.23336144241764079,0.02333608566294472
final_CO2Conc_120_200,Rmax_LTAR,-0.03307438524031782,0.12376006660329884,0.18591266928144512,0.01638884370877924
final_CO2Conc_120_200,Rmax_LTIR,-0.045976174580284024,0.06082456425756454,0.07044229309711264,0.006781863507833817
final_CO2Conc_120_200,Alfa,-0.016931240039777588,0.03623417153778344,0.04368881718141873,0.0035556059243017743
final_CO2Conc_120_200,Ks,-0.008768520111661505,0.017726133006728973,0.024735744603257538,0.0023459636825302246
final_CO2Conc_120_200,PhyllFrmTassel,0.009281346373613417,0.009609342799843124,0.009255164745643118,0.0010409466104797749
final_CO2Conc_120_200,Diffx,-0.0010640779635776398,0.00561250507789598,0.007785026854918828,0.000630832002483544
final_CO2Conc_120_200,Diffz,0.0009900121507607578,0.005060424001518964,0.008232039839783455,0.000760684067245618
final_CO2Conc_20_40,n,-0.7679677657083008,0.7679677657083008,0.32856973905133474,0.03668192153545557
final_CO2Conc_20_40,thetaS,-0.692644074818147,0.692644074818147,0.32225798302949377,0.03930765477175298
final_CO2Conc_20_40,JuvenileLeaves,0.2570810733836217,0.26065707341051203,0.16859418475453758,0.01974022738441829
final_CO2Conc_20_40,LM_min,-0.12787333943548645,0.15195398410274574,0.1904724297949075,0.019973743163571533
final_CO2Conc_20_40,Rmax_LTAR,-0.10271518086109524,0.14097480123427839,0.14778410639815948,0.01279443408677465
final_CO2Conc_20_40,thetaR,0.13974888178324296,0.13974888178324296,0.078477329725339,0.009163913524836018
final_CO2Conc_20_40,StayGreen,-0.11232626533708863,0.1301850645441448,0.16172653392668543,0.0175964139026622
final_CO2Conc_20_40,Rmax_LTIR,-0.03326242798306095,0.05225236431135722,0.06624805209581788,0.006107803331137102
