metric,parameter,mu,mu_star,sigma,mu_star_conf
final_ear_dm,JuvenileLeaves,-0.6994778759542325,0.6999607018464711,0.3409418719411909,0.04173965624123096
final_ear_dm,Rmax_LTAR,0.5529100280684249,0.5529100280684249,0.28820164276983634,0.033594686397040205
final_ear_dm,LM_min,0.4132677756006917,0.4357721825516732,0.37059778337801524,0.040084994827787705
final_ear_dm,StayGreen,0.17601333149433004,0.2476513966980576,0.2752683598967358,0.025654305809873695
final_ear_dm,Rmax_LTIR,0.030219809657979067,0.12634733420574745,0.20468742236660473,0.01858382748963489
final_ear_dm,thetaS,0.12499616019428854,0.12533593801793863,0.0889709284619116,0.009942591280535085
final_ear_dm,n,-0.12028831283765573,0.12433559514129346,0.09006416536630223,0.009862825433199603
final_ear_dm,thetaR,-0.026675913269595328,0.028440446957571502,0.028044878924130056,0.0031893057523583283
final_ear_dm,Alfa,-0.02148437299701475,0.028146458487034207,0.038992729126761445,0.003964917292938523
final_ear_dm,Ks,-0.00767672644219269,0.016179194638224502,0.04656539168969715,0.005415752839408155
final_ear_dm,PhyllFrmTassel,-0.0031464457574653182,0.0071455394162615975,0.008528434315652181,0.000640639618111333
final_ear_dm,Diffz,-0.0007217426714870986,0.003927706412740982,0.012641536184681211,0.0013741522425163206
final_ear_dm,Diffx,7.07686959145683e-05,0.0035562013042508157,0.005077270387341227,0.00041819251388063196
final_shoot_dm,LM_min,0.7880278514772963,0.789138391919541,0.35877122270366235,0.04260130657091447
final_shoot_dm,JuvenileLeaves,0.43619502923292264,0.48203138975494947,0.3544590923225814,0.033931787191610344
final_shoot_dm,StayGreen,0.19217474177250227,0.3315078127394533,0.35369237989502783,0.027256472173020584
final_shoot_dm,Rmax_LTAR,0.2590356630481413,0.28992902267158677,0.30781683648778696,0.032728458585089375
final_shoot_dm,thetaS,0.22983699939815455,0.22983699939815455,0.18688477695754388,0.021792997102389706
final_shoot_dm,n,-0.2282493134605015,0.2282493134605015,0.1873221434956645,0.022134675960833426
final_shoot_dm,Rmax_LTIR,0.0759203108437764,0.08001601306089157,0.07503976306817546,0.008226351337221945
final_shoot_dm,thetaR,-0.05269084134590022,0.05272571811030087,0.05063434402349465,0.006003367607099398
final_shoot_dm,Alfa,-0.03966038874573133,0.04320086475777666,0.054109779317684584,0.006207935668780726
final_shoot_dm,Ks,-0.01924398758057627,0.02141802809979264,0.02486553152470749,0.0027022216015486896
final_shoot_dm,PhyllFrmTassel,0.008775461249436055,0.011085229797357826,0.013512460847665005,0.0013838966559129395
final_shoot_dm,Diffx,0.0012488744191948265,0.006477327148712185,0.009463745094397218,0.0008284880640123781
final_shoot_dm,Diffz,5.544951754089072e-06,0.005192879028671476,0.008720483404424094,0.0008123637814016689
max_lai,JuvenileLeaves,0.9316668496047141,0.9316668496047141,0.3627496320300998,0.043802716806019375
max_lai,LM_min,0.6901853601949065,0.6901853601949065,0.29126192185383476,0.03455061016673724
max_lai,Rmax_LTAR,-0.03821497144372067,0.044974829540966134,0.045417693491469326,0.004773779495909582
max_lai,StayGreen,0.023932259436807442,0.025141398098835196,0.02377254129134873,0.002571359990301906
max_lai,Rmax_LTIR,0.009375583374304582,0.012534599485723417,0.0240227914378184,0.0026592646725755622
max_lai,n,0.007620446848578872,0.009589561061332559,0.012410724514603238,0.0012600853055989463
max_lai,thetaS,-0.0009345425757650869,0.0071698003419609435,0.019546081721832982,0.002066321852692938
max_lai,Alfa,0.0014133811207942537,0.006457462819115055,0.012315073665346229,0.0012165619729306348
max_lai,thetaR,-0.002564982049168332,0.005031620532540577,0.009995484849752536,0.0010413945996916266
max_lai,Ks,0.0003444971558333415,0.004725462797733979,0.013322746150191361,0.001424797463032682
max_lai,Diffz,0.00045045359218826177,0.0017382052519270717,0.00889162060915533,0.0010123449033431773
max_lai,Diffx,-7.28942936504162e-05,0.0012278367703597746,0.003575474779685372,0.00038671808599092123
max_lai,PhyllFrmTassel,0.0,0.0,0.0,0.0
mean_top20_theta,n,-0.9089590611881517,0.9089590611881517,0.34960495620657894,0.042250897492920575
mean_top20_theta,thetaS,0.678663441632683,0.678663441632683,0.28894493387274217,0.035847090942311206
mean_top20_theta,Alfa,-0.11617574327370922,0.11617574327370922,0.06828973936530648,0.008215103119817322
mean_top20_theta,LM_min,-0.11050170522534099,0.11050170522534099,0.06050828351712876,0.007130233985420233
mean_top20_theta,JuvenileLeaves,-0.10510604932787414,0.10510604932787414,0.05625061059348032,0.00662995857597899
mean_top20_theta,thetaR,0.09346849420005603,0.09346849420005603,0.04580352946153723,0.00533480357921997
mean_top20_theta,Ks,-0.05101637455000638,0.05101637455000638,0.024817153801691392,0.0028301764067936185
mean_top20_theta,Rmax_LTAR,-0.036210320260199054,0.0379153351259151,0.030521358956792616,0.0033214571577029834
mean_top20_theta,StayGreen,-0.030391447905474215,0.030391447905474215,0.02325560670730945,0.0026581224306967263
mean_top20_theta,Rmax_LTIR,-0.0011120824205753884,0.003638920945652437,0.006394016262230321,0.000667464788799257
mean_top20_theta,Diffx,-0.0007874605820534186,0.0018272654324658357,0.0027508415752810454,0.00025879983706560497
mean_top20_theta,PhyllFrmTassel,-0.001339349782322545,0.0017871855791434567,0.0026110019493261285,0.0002717864527830019
mean_top20_theta,Diffz,-0.0008773105379711898,0.0017194529090188515,0.002601224032516385,0.0002571024443457499
seasonal_actual_transpiration,LM_min,0.751310754362091,0.751310754362091,0.3146971037556651,0.03675914940872503
seasonal_actual_transpiration,JuvenileLeaves,0.6639102374127875,0.6639102374127875,0.29234666852899027,0.034147507247631714
seasonal_actual_transpiration,StayGreen,0.27018385865089267,0.28837787059654146,0.2599519837832512,0.027867085611712472
seasonal_actual_transpiration,thetaS,0.2808284298336122,0.2808284298336122,0.21701637007222713,0.025608464595032347
seasonal_actual_transpiration,Rmax_LTAR,0.15168298762172683,0.1915064118387408,0.20772911769944802,0.020327725223365047
seasonal_actual_transpiration,n,-0.04972083457978338,0.13447311807227527,0.19585613881961408,0.01744761493757123
seasonal_actual_transpiration,thetaR,-0.06197261693463433,0.06312787368043332,0.06329331422821503,0.007219319483003824
seasonal_actual_transpiration,Alfa,-0.0029171716507171218,0.03801470933586865,0.05763568295942809,0.005149878287162654
seasonal_actual_transpiration,Ks,-0.03251848738268375,0.0340575736711827,0.031752003427346354,0.0035480330498310606
seasonal_actual_transpiration,Rmax_LTIR,0.01053761670677725,0.019162570175518506,0.03378534446611186,0.0035066562947211537
seasonal_actual_transpiration,Diffz,0.0011473096356174363,0.009700001617056819,0.017003781657433943,0.0017217632582718124
seasonal_actual_transpiration,Diffx,0.0016288845154588895,0.008785101396208944,0.012715415680940794,0.0010875492407985778
seasonal_actual_transpiration,PhyllFrmTassel,0.005042819475974519,0.00848962099775374,0.012860754367741546,0.0012408150279475288
seasonal_potential_transpiration,LM_min,0.7464743971781344,0.7464743971781344,0.30909533429468106,0.036059017256174046
seasonal_potential_transpiration,JuvenileLeaves,0.6938086719298595,0.6938086719298595,0.2967964409126682,0.034822638017217536
seasonal_potential_transpiration,StayGreen,0.2650769152642195,0.2821590944430352,0.25415876196021364,0.02733183211211208
seasonal_potential_transpiration,thetaS,0.25544910100130697,0.25544910100130697,0.1750535935785676,0.02062546589994451
seasonal_potential_transpiration,Rmax_LTAR,0.1544820298964749,0.19150129040994526,0.20674129077266304,0.02047047473594765
seasonal_potential_transpiration,n,-0.08676944009753285,0.14261487003784445,0.17864049290192832,0.016006714757186593
seasonal_potential_transpiration,thetaR,-0.05369999873457086,0.054937573995364974,0.05200996567791656,0.005891779222903321
seasonal_potential_transpiration,Alfa,-0.018443645226019236,0.03421306632821058,0.052561808940887786,0.0052080971634246125
seasonal_potential_transpiration,Ks,-0.023561876935072678,0.025938874698104453,0.025625585712998375,0.0027189617128084392
seasonal_potential_transpiration,Rmax_LTIR,0.0047094100856481256,0.019603491766159206,0.03487222085499122,0.0034640944987884923
seasonal_potential_transpiration,Diffz,0.001221262693883692,0.009308981653236724,0.016293921479758524,0.001654161037122076
seasonal_potential_transpiration,Diffx,0.0016716653272825812,0.00847079628340127,0.012095956509044771,0.001021220942515542
seasonal_potential_transpiration,PhyllFrmTassel,0.005150795095030847,0.008252440904470854,0.012201386876742078,0.0011789004617649957
seasonal_transpiration_deficit,JuvenileLeaves,0.7137809146372719,0.7137809146372719,0.33977127291648734,0.040610750757983156
seasonal_transpiration_deficit,n,-0.6328741460986933,0.6949923389857092,0.44635620414071786,0.04054604263016379
seasonal_transpiration_deficit,Alfa,-0.23845535199997056,0.2585763275635085,0.1745837949486223,0.017469942074999866
seasonal_transpiration_deficit,thetaS,-0.18354448303138698,0.2416641645787811,0.3523768596865716,0.03600669156187307
seasonal_transpiration_deficit,LM_min,0.22758872038288827,0.23227517042651624,0.23666458698963136,0.027160028561418356
seasonal_transpiration_deficit,Rmax_LTAR,0.09105169719555298,0.1327976811559482,0.1884328981880861,0.018542104412752856
seasonal_transpiration_deficit,Ks,0.1002285834161147,0.10058486639263783,0.07959797369364299,0.009534139547521395
seasonal_transpiration_deficit,Rmax_LTIR,-0.08088914401290244,0.09831121930781833,0.1066831297571845,0.010464770888744306
seasonal_transpiration_deficit,thetaR,0.06561219833000385,0.080211807917771,0.13048890948820602,0.014001179596870967
seasonal_transpiration_deficit,StayGreen,0.026038236328402003,0.041684600378806884,0.05754574937137885,0.005592913250163162
seasonal_transpiration_deficit,Diffz,0.002701111723809116,0.010432127774405919,0.017904374698788424,0.001760794321650713
seasonal_transpiration_deficit,Diffx,0.0012063556740774819,0.009413615659508098,0.014063974885555974,0.0011855812784711836
seasonal_transpiration_deficit,PhyllFrmTassel,0.004216140077763851,0.008966665422890808,0.013220904648432109,0.0011820156487810838
