sample_id,trajectory_id,step_id,changed_parameter,raw_changed_parameter,raw_JuvenileLeaves,actual_JuvenileLeaves,raw_Rmax_LTAR,actual_Rmax_LTAR,raw_Rmax_LTIR,actual_Rmax_LTIR,raw_PhyllFrmTassel,actual_PhyllFrmTassel,raw_StayGreen,actual_StayGreen,raw_LM_min,actual_LM_min,raw_Diffx,actual_Diffx,raw_Diffz,actual_Diffz,raw_thetaR,actual_thetaR,raw_thetaS,actual_thetaS,raw_Alfa,actual_Alfa,raw_n,actual_n,raw_Ks,actual_Ks
1,1,0,,,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,130.0,130.0,20.666666666666668,20.666666666666668,1.0333333333333334,1.0333333333333334,0.07533333333333334,0.07533333333333334,0.387,0.387,0.037333333333333336,0.037333333333333336,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
2,1,1,Diffz,Diffz,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,130.0,130.0,20.666666666666668,20.666666666666668,0.9,0.9,0.07533333333333334,0.07533333333333334,0.387,0.387,0.037333333333333336,0.037333333333333336,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
3,1,2,Ks,Ks,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,130.0,130.0,20.666666666666668,20.666666666666668,0.9,0.9,0.07533333333333334,0.07533333333333334,0.387,0.387,0.037333333333333336,0.037333333333333336,1.6133333333333333,1.6133333333333333,22.5,22.5
4,1,3,thetaS,thetaS,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,130.0,130.0,20.666666666666668,20.666666666666668,0.9,0.9,0.07533333333333334,0.07533333333333334,0.4443333333333333,0.4443333333333333,0.037333333333333336,0.037333333333333336,1.6133333333333333,1.6133333333333333,22.5,22.5
5,1,4,Diffx,Diffx,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,130.0,130.0,18.0,18.0,0.9,0.9,0.07533333333333334,0.07533333333333334,0.4443333333333333,0.4443333333333333,0.037333333333333336,0.037333333333333336,1.6133333333333333,1.6133333333333333,22.5,22.5
6,1,5,Alfa,Alfa,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,130.0,130.0,18.0,18.0,0.9,0.9,0.07533333333333334,0.07533333333333334,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
7,1,6,LM_min,LM_min,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.07533333333333334,0.07533333333333334,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
8,1,7,thetaR,thetaR,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.05,4.05,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
9,1,8,StayGreen,StayGreen,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.65,4.65,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
10,1,9,PhyllFrmTassel,PhyllFrmTassel,20.0,20,0.5456666666666666,0.5456666666666666,0.88,0.88,2.9,2.9,4.65,4.65,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
11,1,10,Rmax_LTIR,Rmax_LTIR,20.0,20,0.5456666666666666,0.5456666666666666,0.96,0.96,2.9,2.9,4.65,4.65,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
